Deployment,Start,End
CH01_01,6/23/22 0:00,10/19/22 5:17
CH01_02,11/16/22 8:00,2/22/23 23:21
CH01_03,3/11/23 7:00,7/12/23 10:33
CH01_04,7/12/23 10:00,11/8/23 12:00
