Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:37,UF,Other,8/14/2019 2:13:37.5,8/14/2019 4:05:22.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:37,UF,Other,8/14/2019 2:25:32.5,8/14/2019 12:47:55.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:38,UF,Other,8/15/2019 2:30:57.5,8/15/2019 3:58:52.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:38,UF,Other,8/15/2019 2:38:27.5,8/15/2019 12:25:00.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:38,UF,Other,8/16/2019 2:27:56.5,8/16/2019 4:09:11.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:38,UF,Other,8/17/2019 2:20:22.5,8/17/2019 4:07:37.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:38,UF,Other,8/17/2019 7:58:25.5,8/17/2019 13:24:28.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:39,UF,Other,8/17/2019 12:18:58.5,8/17/2019 13:27:28.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:39,UF,Other,8/18/2019 2:29:15.5,8/18/2019 4:16:30.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:39,UF,Other,8/18/2019 11:58:08.5,8/18/2019 13:27:26.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:39,UF,Other,8/19/2019 2:18:47.5,8/19/2019 4:11:57.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:39,UF,Other,8/20/2019 2:15:47.5,8/20/2019 3:58:32.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:39,UF,Other,8/21/2019 2:35:01.5,8/21/2019 3:56:56.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:39,UF,Other,8/22/2019 2:20:03.5,8/22/2019 3:43:28.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/23/2019 2:21:30.5,8/23/2019 4:08:45.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/23/2019 2:28:55.5,8/23/2019 13:36:02.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/23/2019 11:32:29.5,8/23/2019 13:31:32.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/24/2019 2:14:03.5,8/24/2019 4:02:43.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/24/2019 2:14:03.5,8/24/2019 13:19:34.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/25/2019 2:06:30.5,8/25/2019 3:55:15.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/25/2019 2:15:30.5,8/25/2019 13:32:56.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:40,UF,Other,8/25/2019 12:21:31.5,8/25/2019 13:32:56.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:41,UF,Other,8/26/2019 2:15:27.5,8/26/2019 3:44:47.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:41,UF,Other,8/27/2019 1:45:59.5,8/27/2019 3:48:09.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:41,UF,Other,8/28/2019 2:14:14.5,8/28/2019 3:49:34.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:41,UF,Other,8/28/2019 2:09:44.5,8/28/2019 13:31:44.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:41,UF,Other,8/28/2019 12:02:19.5,8/28/2019 13:36:09.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:42,UF,Other,8/29/2019 2:06:45.5,8/29/2019 3:46:30.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:45,UF,Other,8/30/2019 2:17:05.5,8/30/2019 4:02:45.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:45,UF,Other,8/30/2019 21:28:02.5,8/30/2019 22:29:07.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:45,UF,Other,8/31/2019 2:18:30.5,8/31/2019 3:37:25.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:45,UF,Other,9/1/2019 2:07:57.5,9/1/2019 3:46:17.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:45,UF,Other,9/2/2019 2:18:23.5,9/2/2019 3:43:13.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:45,UF,Other,9/2/2019 11:30:45.5,9/2/2019 13:31:23.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:45,UF,Other,9/3/2019 2:07:49.5,9/3/2019 4:11:29.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:46,UF,Other,9/2/2019 11:44:20.5,9/2/2019 13:35:58.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:46,UF,Other,9/3/2019 8:50:01.5,9/3/2019 13:41:54.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:46,UF,Other,9/4/2019 2:10:55.5,9/4/2019 3:50:40.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:46,UF,Other,9/4/2019 10:58:03.5,9/4/2019 13:38:52.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:46,UF,Other,9/5/2019 2:24:18.5,9/5/2019 4:01:08.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:46,UF,Other,9/5/2019 11:27:46.5,9/5/2019 13:43:19.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:47,UF,Other,9/6/2019 2:09:20.5,9/6/2019 3:28:15.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:47,UF,Other,9/7/2019 2:01:50.5,9/7/2019 3:32:40.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:47,UF,Other,9/11/2019 2:03:13.5,9/11/2019 3:22:08.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated\CI\CI04\CI04_03_df24\CI04_03_5s_1Hz_df24.ltsa,2/10/2023 9:47,UF,Other,9/11/2019 12:15:08.5,9/11/2019 13:32:38.5,,,,,,,Bocaccio sunrise,,
