Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:29,UF,Other,6/4/2020 20:05:12.5,6/5/2020 9:23:13.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:29,UF,Other,6/5/2020 4:06:03.5,6/5/2020 7:28:33.5,,,,,,,White Seabass,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:51,UF,Other,6/5/2020 20:52:40.5,6/6/2020 9:14:09.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:51,UF,Other,6/6/2020 3:30:12.5,6/6/2020 7:03:04.5,,,,,,,White Seabass,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:52,UF,Other,6/7/2020 4:57:56.5,6/7/2020 11:20:39.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:52,UF,Other,6/7/2020 6:58:36.5,6/7/2020 9:37:56.5,,,,,,,White Seabass,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:55,UF,Other,6/10/2020 2:39:10.5,6/10/2020 4:14:22.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:55,UF,Other,6/10/2020 5:46:42.5,6/10/2020 11:21:45.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:57,UF,Other,6/11/2020 2:59:27.5,6/11/2020 4:10:55.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:57,UF,Other,6/11/2020 2:08:52.5,6/11/2020 12:31:13.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\sanctsound_decimated_2\CI\CI04\CI04_05\CI04_05_df24\SanctSound_CI04_05_df24_5s1Hz.ltsa,2/10/2023 10:57,UF,Other,6/11/2020 18:46:25.5,6/11/2020 22:32:48.5,,,,,,,Lingcod,,
