Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:01,UF,Other,11/2/2018 1:15:57.5,11/2/2018 2:21:27.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:01,UF,Other,11/3/2018 1:06:46.5,11/3/2018 2:31:41.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:02,UF,Other,11/4/2018 1:06:41.5,11/4/2018 2:21:11.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:02,UF,Other,11/6/2018 1:13:39.5,11/6/2018 2:17:44.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:03,UF,Other,11/8/2018 1:18:02.5,11/8/2018 2:22:02.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:03,UF,Other,11/9/2018 1:10:34.5,11/9/2018 2:24:59.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:03,UF,Other,11/10/2018 1:10:31.5,11/10/2018 2:14:31.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:03,UF,Other,11/11/2018 1:11:52.5,11/11/2018 2:26:22.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:03,UF,Other,11/12/2018 1:11:49.5,11/12/2018 2:38:14.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:04,UF,Other,11/13/2018 1:23:39.5,11/13/2018 2:20:14.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:04,UF,Other,11/15/2018 1:11:35.5,11/15/2018 2:15:40.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:04,UF,Other,11/18/2018 1:15:51.5,11/18/2018 2:03:31.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:05,UF,Other,11/19/2018 1:17:55.5,11/25/2018 23:43:35.5,,,,,,,Noise,,
\\frosty.ucsd.edu\SanctSound_Decimated\CI\CI04\CI04_01_df48\C104_01_5s_1Hz_df48.ltsa,2/9/2023 12:07,UF,Other,11/26/2018 1:08:44.5,11/26/2018 2:00:49.5,,,,,,,Bocaccio sunset,,
