Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:22,UF,Other,7/30/2021 21:25:48.5,7/30/2021 23:39:53.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:22,UF,Other,7/31/2021 2:43:00.5,7/31/2021 4:21:15.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:22,UF,Other,7/31/2021 3:50:00.5,7/31/2021 9:48:48.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:22,UF,Other,7/31/2021 2:50:25.5,7/31/2021 13:12:51.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:24,UF,Other,8/1/2021 2:50:27.5,8/1/2021 4:10:52.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:24,UF,Other,8/1/2021 4:00:27.5,8/1/2021 8:28:24.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:25,UF,Other,8/2/2021 2:53:22.5,8/2/2021 4:07:47.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:25,UF,Other,8/3/2021 2:51:48.5,8/3/2021 4:27:03.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:25,UF,Other,8/4/2021 2:53:15.5,8/4/2021 4:13:35.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:25,UF,Other,8/5/2021 2:29:22.5,8/5/2021 4:13:32.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:26,UF,Other,8/6/2021 2:56:04.5,8/6/2021 13:37:49.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:26,UF,Other,8/7/2021 3:06:25.5,8/7/2021 13:15:26.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:26,UF,Other,8/7/2021 11:46:08.5,8/7/2021 13:13:56.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:26,UF,Other,8/8/2021 2:53:02.5,8/8/2021 4:02:57.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:26,UF,Other,8/8/2021 11:35:40.5,8/8/2021 13:10:53.5,,,,,,,Bocaccio sunrise,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:28,UF,Other,8/9/2021 2:23:09.5,8/9/2021 4:01:29.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:28,UF,Other,8/9/2021 5:29:19.5,8/9/2021 13:13:49.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:28,UF,Other,8/10/2021 2:38:00.5,8/10/2021 4:11:50.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:28,UF,Other,8/10/2021 4:08:50.5,8/10/2021 13:24:11.5,,,,,,,Bocaccio,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:29,UF,Other,8/11/2021 2:29:01.5,8/11/2021 4:08:46.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\CI\CI04_08\CI04_08_df24\SanctSound_CI04_08_df24_5s1Hz.ltsa,2/13/2023 13:29,UF,Other,8/11/2021 8:33:49.5,8/11/2021 13:12:11.5,,,,,,,Bocaccio,,
