Deployment,Start,End
MB02_01,11/16/18,4/7/19
MB02_02,4/8/19,8/11/19
MB02_03,8/23/19,12/20/19
MB02_04,12/21/19,3/22/20
MB02_05,4/17/20,8/21/2020
MB02_06,8/21/20,8/22/20
MB02_07,12/11/20,4/22/21
MB02_10,1/28/22,5/10/22
MB02_11,6/30/22,12/10/22
MB02_12,2/3/23,7/29/23
