Deployment,Start,End
MB02_01,11/15/18,3/28/19
MB02_02,4/8/19,8/14/19
MB02_03,8/22/19,12/20/19
MB02_04,12/21/19,4/9/20
MB02_05,4/17/20,8/21/2020
MB02_06,8/21/20,12/11/20
MB02_07,12/11/20,4/23/21
MB02_08,4/23/21,6/8/21
MB01_09,8/11/21,1/21/22
MB02_11,6/30/22,11/21/22
MB02_12,2/3/23,8/17/23
