Deployment,Off start,Off end,Off start date,Off end date
CI01_01-02,12/17/2018 15:58,3/25/2019 20:08,2018-12-17,2019-03-25
CI01_02-03,8/4/2019 3:30,8/13/2019 22:10,2019-08-04,2019-08-13
CI01_03-04,10/30/2019 0:21,1/24/2020 7:11,2019-10-30,2020-01-24
CI01_04-05,6/4/2020 19:53,6/4/2020 23:11,2020-06-04,2020-06-04
CI01_05-06,10/10/2020 22:41,10/22/2020 16:11,2020-10-10,2020-10-22
CI01_06-07,2/23/2021 12:46,3/5/2021 19:02,2021-02-23,2021-03-05
CI01_07-08,7/1/2021 15:41,7/8/2021 18:21,2021-07-01,2021-07-08
CI01_08-09,9/11/2021 23:21,1/30/2021 23:59,2021-09-11,2022-01-30
