Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 15:34,UF,Other,8/12/2021 3:00:27.5,8/12/2021 4:34:27.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 15:34,UF,Other,8/12/2021 3:18:12.5,8/12/2021 4:03:07.5,,,,,,,HF sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 15:41,UF,Other,8/12/2021 4:03:07.5,8/12/2021 7:58:17.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 15:58,UF,Other,8/13/2021 3:07:33.5,8/13/2021 4:06:03.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 15:59,UF,Other,8/13/2021 3:14:33.5,8/13/2021 4:12:03.5,,,,,,,HF sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:01,UF,Other,8/12/2021 23:43:31.5,8/13/2021 8:53:08.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:08,UF,Other,8/14/2021 3:01:49.5,8/14/2021 4:27:29.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:09,UF,Other,8/15/2021 3:00:51.5,8/15/2021 4:20:16.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:09,UF,Other,8/15/2021 1:42:32.5,8/15/2021 10:36:29.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:09,UF,Other,8/15/2021 3:00:51.5,8/15/2021 4:05:41.5,,,,,,,HF sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:09,UF,Other,8/16/2021 2:55:40.5,8/16/2021 4:13:58.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:10,UF,Other,8/15/2021 23:38:10.5,8/16/2021 8:13:18.5,,,,,,,Lingcod,,
\\frosty.ucsd.edu\SanctSound_Decimated_4\MB\MB01_09\MB01_09_df24\SanctSound_MB01_09_df24_5s1Hz.ltsa,7/29/2022 16:10,UF,Other,8/17/2021 2:58:37.5,8/17/2021 4:30:35.5,,,,,,,Bocaccio sunset,,
