Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:20,UF,Other,4/24/2021 3:05:48.5,4/24/2021 4:42:58.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:20,UF,Other,4/25/2021 3:08:37.5,4/25/2021 4:39:32.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:24,UF,Other,4/26/2021 2:48:39.5,4/26/2021 4:20:31.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:24,UF,Other,4/27/2021 2:54:44.5,4/27/2021 4:09:57.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:25,UF,Other,4/28/2021 2:23:16.5,4/28/2021 4:00:24.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:29,UF,Other,4/29/2021 1:58:02.5,4/29/2021 3:42:30.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:33,UF,Other,4/30/2021 2:38:37.5,4/30/2021 4:01:09.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:36,UF,Other,5/1/2021 2:58:18.5,5/1/2021 4:18:46.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:37,UF,Other,5/2/2021 3:10:43.5,5/2/2021 4:26:58.5,,,,,,,Bocaccio sunset,,
\\frosty.ucsd.edu\sanctsound_decimated_3\MB\MB01_08\MB01_08_df24\SanctSound_MB01_08_df24_5s1Hz.ltsa,7/29/2022 10:39,UF,Other,5/3/2021 3:11:36.5,5/3/2021 4:27:56.5,,,,,,,Bocaccio sunset,,
