Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:48,UF,Other,2/4/2023 4:08:42,2/4/2023 7:42:52,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:49,UF,Other,2/4/2023 19:49:37,2/5/2023 8:59:00,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:53,UF,Other,2/5/2023 19:46:53,2/6/2023 7:33:06,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:54,UF,Other,2/6/2023 17:16:10,2/7/2023 7:17:20,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:54,UF,Other,2/7/2023 20:04:50,2/8/2023 6:15:50,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:54,UF,Other,2/8/2023 21:45:59,2/9/2023 7:21:13,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:55,UF,Other,2/5/2023 9:14:15,2/5/2023 15:05:16,,,,,,,Bocaccio,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:55,UF,Other,2/6/2023 9:55:56,2/6/2023 14:47:28,,,,,,,Bocaccio,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:57,UF,Other,2/9/2023 23:25:05,2/10/2023 8:38:37,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:57,UF,Other,2/10/2023 21:47:55,2/11/2023 7:59:00,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:58,UF,Other,2/11/2023 22:21:36,2/12/2023 9:48:03,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 11:58,UF,Other,2/12/2023 21:45:58,2/13/2023 10:23:39,,,,,,,UF310,,
J:\MB01_12\MB01_12_df24_new\LTSA_MB01_12_df24_5s_1Hz.ltsa,8/15/2024 12:01,UF,Other,2/13/2023 23:32:58,2/14/2023 5:35:55,,,,,,,Off Effort,,
