Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:27,UF,Other,5/2/2019 8:52:09,5/2/2019 10:28:38,,,,,,Not 100% sure of ID,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:28,UF,Other,5/5/2019 9:15:28,5/5/2019 10:59:36,,,,,,End obscured by ships,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:29,UF,Other,5/6/2019 5:38:05,5/6/2019 10:31:05,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:30,UF,Other,5/7/2019 3:43:13,5/7/2019 10:23:20,,,,,,"End unclear, ship",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:30,UF,Other,5/8/2019 4:23:09,5/8/2019 11:08:39,,,,,,"Start unclear, ship",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:30,UF,Other,5/9/2019 5:34:33,5/9/2019 11:19:56,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:35,UF,Other,5/11/2019 3:30:13,5/11/2019 11:43:47,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:37,UF,Other,5/12/2019 4:35:43,5/12/2019 11:39:39,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:37,UF,Other,5/13/2019 7:38:32,5/13/2019 12:18:26,,,,,,"Start unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:40,UF,Other,5/14/2019 3:19:31,5/14/2019 12:17:13,,,,,,All obscured by ships,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:40,UF,Other,5/15/2019 3:16:33,5/15/2019 6:10:27,,,,,,"Seems to stop in the middle, part 1",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:41,UF,Other,5/15/2019 9:32:22,5/15/2019 12:13:04,,,,,,"Obscured by ships, part 2",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:41,UF,Other,5/16/2019 3:29:44,5/16/2019 11:44:30,,,,,,End obscured by ships,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:41,UF,Other,5/17/2019 3:41:39,5/17/2019 12:05:20,,,,,,End obscured by ships,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:42,UF,Other,5/18/2019 3:43:26,5/18/2019 12:13:44,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:42,UF,Other,5/19/2019 3:32:40,5/19/2019 12:11:20,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:42,UF,Other,5/20/2019 3:34:31,5/20/2019 11:54:40,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:43,UF,Other,5/21/2019 3:29:46,5/21/2019 11:34:26,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:43,UF,Other,5/22/2019 3:38:06,5/22/2019 11:43:57,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:43,UF,Other,5/23/2019 3:43:29,5/23/2019 12:06:38,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:44,UF,Other,5/24/2019 3:44:05,5/24/2019 12:10:16,,,,,,"Start unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:44,UF,Other,5/25/2019 3:38:46,5/25/2019 12:13:52,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:44,UF,Other,5/26/2019 3:16:43,5/26/2019 12:14:29,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:44,UF,Other,5/27/2019 3:29:54,5/27/2019 12:15:40,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:45,UF,Other,5/28/2019 3:44:12,5/28/2019 12:09:41,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:45,UF,Other,5/29/2019 3:26:21,5/29/2019 12:03:46,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:45,UF,Other,5/30/2019 3:41:53,5/30/2019 12:08:34,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:46,UF,Other,5/31/2019 3:31:45,5/31/2019 12:03:51,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:46,UF,Other,6/1/2019 3:18:07,6/1/2019 11:59:09,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:47,UF,Other,6/2/2019 3:49:44,6/2/2019 11:59:10,,,,,,Clear frequency increase,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:47,UF,Other,6/3/2019 3:33:41,6/3/2019 11:22:17,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:48,UF,Other,6/4/2019 3:41:23,6/4/2019 11:10:24,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:48,UF,Other,6/5/2019 3:48:00,6/5/2019 11:35:26,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:49,UF,Other,6/6/2019 3:43:53,6/6/2019 12:02:52,,,,,,Frequency increase,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:49,UF,Other,6/7/2019 3:53:23,6/7/2019 12:08:48,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:49,UF,Other,6/8/2019 3:34:59,6/8/2019 11:56:20,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:49,UF,Other,6/9/2019 4:01:44,6/9/2019 11:56:20,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:50,UF,Other,6/10/2019 3:51:41,6/10/2019 11:43:17,,,,,,"Start and end unclear, ships; broad frequency range",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:50,UF,Other,6/11/2019 4:03:47,6/11/2019 11:40:27,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:51,UF,Other,6/12/2019 4:14:33,6/12/2019 11:51:13,,,,,,"start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:51,UF,Other,6/13/2019 3:56:39,6/13/2019 11:59:36,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:52,UF,Other,6/14/2019 3:41:46,6/14/2019 12:00:11,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:52,UF,Other,6/15/2019 3:28:41,6/15/2019 12:05:31,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:53,UF,Other,6/16/2019 3:26:21,6/16/2019 12:06:06,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:53,UF,Other,6/17/2019 3:42:27,6/17/2019 12:31:12,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:54,UF,Other,6/18/2019 3:57:20,6/18/2019 12:14:35,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:54,UF,Other,6/19/2019 3:51:26,6/19/2019 11:50:14,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:55,UF,Other,6/20/2019 3:49:05,6/20/2019 11:49:34,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:55,UF,Other,6/21/2019 3:41:18,6/21/2019 11:47:14,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:55,UF,Other,6/22/2019 3:51:30,6/22/2019 12:18:09,,,,,,"Start unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:56,UF,Other,6/23/2019 4:08:45,6/23/2019 12:13:24,,,,,,"Start and end unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:57,UF,Other,6/24/2019 4:01:00,6/24/2019 12:27:10,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:57,UF,Other,6/25/2019 3:50:56,6/25/2019 12:03:22,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:57,UF,Other,6/26/2019 3:51:33,6/26/2019 12:03:24,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:58,UF,Other,6/27/2019 4:08:51,6/27/2019 12:21:16,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:58,UF,Other,6/28/2019 3:39:43,6/28/2019 12:11:29,,,,,,Data gap in middle,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:58,UF,Other,6/29/2019 3:51:50,6/29/2019 11:51:32,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:59,UF,Other,6/30/2019 4:11:51,6/30/2019 11:59:52,,,,,,"Start unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 4:59,UF,Other,7/1/2019 4:06:28,7/1/2019 11:16:58,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 5:00,UF,Other,7/2/2019 4:07:09,7/2/2019 11:46:50,,,,,,"Start unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 5:00,UF,Other,7/3/2019 4:03:37,7/3/2019 11:43:53,,,,,,"End unclear, ships",Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 5:00,UF,Other,7/4/2019 3:54:03,7/4/2019 11:36:45,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 5:01,UF,Other,7/5/2019 4:03:06,7/5/2019 11:38:37,,,,,,,Midshipman,,
R:\MB\MB02\MB02_02_df24\LTSA_MB02_02_df24_5s_1Hz.ltsa,6/28/2021 5:01,UF,Other,7/6/2019 4:12:03,7/6/2019 12:09:33,,,,,,"End unclear, ships",Midshipman,,
