Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:21,UF,Other,5/16/2020 3:35:06,5/16/2020 12:08:24,,,,,,,Midshipman,,
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:21,UF,Other,5/17/2020 3:38:01,5/17/2020 10:53:59,,,,,,,Midshipman,,
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:21,UF,Other,5/18/2020 4:23:47,5/18/2020 12:23:10,,,,,"Not sure, a lot of noise",,Midshipman,,
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:22,UF,Other,5/19/2020 4:31:23,5/19/2020 11:52:01,,,,,"Start and end unclear, ships",,Midshipman,,
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:22,UF,Other,5/20/2020 3:45:20,5/20/2020 12:14:29,,,,,"Start and end unclear, ships",,Midshipman,,
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:23,UF,Other,5/21/2020 3:50:37,5/21/2020 11:42:50,,,,,"Start and end unclear, ships",,Midshipman,,
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:23,UF,Other,5/22/2020 3:30:13,5/22/2020 12:04:40,,,,,,,Midshipman,,
Z:\MB02\MB02_04\MB02_04_df24\SanctSound_MB02_04_df24_5s1Hz.ltsa,6/28/2021 7:23,UF,Other,5/23/2020 3:52:28,5/23/2020 11:59:01,,,,,,,Midshipman,,
