Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:34,UF,Other,3/14/2023 2:35:37.5,3/14/2023 4:29:42.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:34,UF,Other,3/14/2023 2:32:17.5,3/14/2023 10:30:30.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:34,UF,Other,3/14/2023 10:45:50.5,3/14/2023 14:16:53.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:35,UF,Other,3/15/2023 2:18:39.5,3/15/2023 3:33:34.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:35,UF,Other,3/15/2023 2:15:14.5,3/15/2023 7:06:18.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:35,UF,Other,3/15/2023 7:02:53.5,3/15/2023 14:23:41.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:35,UF,Other,3/16/2023 2:35:37.5,3/16/2023 3:57:22.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:35,UF,Other,3/16/2023 2:28:52.5,3/16/2023 14:10:04.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:37,UF,Other,3/17/2023 2:39:05.5,3/17/2023 3:47:10.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:37,UF,Other,3/17/2023 2:42:30.5,3/17/2023 13:48:02.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:38,UF,Other,3/18/2023 2:37:23.5,3/18/2023 4:04:13.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:38,UF,Other,3/18/2023 2:37:23.5,3/18/2023 13:49:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:40,UF,Other,3/19/2023 2:45:51.5,3/19/2023 4:41:36.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:40,UF,Other,3/19/2023 2:45:51.5,3/19/2023 6:47:31.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:40,UF,Other,3/19/2023 6:35:36.5,3/19/2023 14:25:22.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:40,UF,Other,3/20/2023 2:37:23.5,3/20/2023 4:09:18.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:41,UF,Other,3/20/2023 2:35:38.5,3/20/2023 13:41:10.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:45,UF,Other,3/21/2023 2:33:57.5,3/21/2023 6:30:32.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:46,UF,Other,3/21/2023 6:23:42.5,3/21/2023 14:10:02.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:52,UF,Other,3/22/2023 2:42:28.5,3/22/2023 3:53:58.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_05_df24\MB05_05_df24_5s_1Hz_6997.ltsa,8/8/2023 10:53,UF,Other,3/22/2023 2:44:13.5,3/22/2023 9:10:30.5,bocaccio,,
