Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:46,UF,Other,5/11/2022 3:15:18.5,5/11/2022 4:18:48.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:46,UF,Other,5/12/2022 2:21:44.5,5/12/2022 12:26:40.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:47,UF,Other,5/12/2022 3:37:09.5,5/12/2022 12:10:45.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:48,UF,Other,5/13/2022 3:27:16.5,5/13/2022 12:14:47.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:48,UF,Other,5/13/2022 3:21:16.5,5/13/2022 4:42:36.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:48,UF,Other,5/14/2022 3:33:09.5,5/14/2022 12:12:45.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:49,UF,Other,5/14/2022 3:09:24.5,5/14/2022 10:35:37.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:52,UF,Other,5/15/2022 3:29:16.5,5/15/2022 12:26:42.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:52,UF,Other,5/15/2022 3:27:16.5,5/15/2022 4:34:41.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:53,UF,Other,5/16/2022 3:23:14.5,5/16/2022 12:26:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:55,UF,Other,5/16/2022 4:20:44.5,5/16/2022 4:20:44.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:55,UF,Other,5/17/2022 3:29:16.5,5/17/2022 12:22:42.5,bocaccio ,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:55,UF,Other,5/17/2022 3:33:11.5,5/17/2022 4:18:51.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:56,UF,Other,5/18/2022 3:31:08.5,5/18/2022 12:14:44.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:56,UF,Other,5/18/2022 3:35:08.5,5/18/2022 4:28:43.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:56,UF,Other,5/19/2022 3:19:20.5,5/19/2022 12:20:40.5,bocaccio ,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:56,UF,Other,5/19/2022 3:33:10.5,5/19/2022 4:38:40.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:57,UF,Other,5/20/2022 3:37:10.5,5/20/2022 12:22:41.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:57,UF,Other,5/20/2022 0:04:55.5,5/20/2022 8:02:53.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:57,UF,Other,5/21/2022 3:35:07.5,5/21/2022 12:14:42.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 0:57,UF,Other,5/21/2022 3:31:07.5,5/21/2022 4:42:32.5,bocaccio sunset,,
