Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:06,UF,Other,6/23/2022 6:06:37.5,6/23/2022 14:30:19.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:07,UF,Other,6/24/2022 1:08:24.5,6/24/2022 4:00:54.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:07,UF,Other,6/24/2022 0:14:49.5,6/24/2022 14:01:46.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:08,UF,Other,6/25/2022 0:52:29.5,6/25/2022 4:16:49.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:08,UF,Other,6/25/2022 0:58:29.5,6/25/2022 14:15:43.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:11,UF,Other,6/25/2022 1:44:04.5,6/25/2022 12:44:28.5,HF,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:11,UF,Other,6/24/2022 1:32:09.5,6/24/2022 3:56:59.5,HF,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:11,UF,Other,6/24/2022 9:12:15.5,6/24/2022 12:40:26.5,HF,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:12,UF,Other,6/26/2022 1:16:19.5,6/26/2022 4:14:49.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:12,UF,Other,6/26/2022 1:06:24.5,6/26/2022 15:23:09.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:12,UF,Other,6/26/2022 1:40:04.5,6/26/2022 4:04:54.5,HF sunset,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:12,UF,Other,6/26/2022 1:32:09.5,6/26/2022 12:38:34.5,HF,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:12,UF,Other,6/27/2022 1:32:09.5,6/27/2022 4:32:39.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,7/17/2023 2:13,UF,Other,6/27/2022 1:34:09.5,6/27/2022 13:38:05.5,bocaccio,,
