Deployment,Start,End
MB05_01,4/25/22 0:00,6/21/22 12:26
MB05_02,6/23/22 6:00,11/15/22 14:01
MB05_03,11/16/22 20:00,12/31/22 15:37
MB05_04,1/1/23 1:54,3/13/23 13:49
MB05_05,3/13/23 21:41,7/14/23 12:36
