Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:32,UF,Other,11/17/2022 1:15:56.5,11/17/2022 2:13:25.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:32,UF,Other,11/17/2022 1:15:56.5,11/17/2022 14:19:20.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:35,UF,Other,11/18/2022 0:56:32.5,11/18/2022 1:38:12.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:35,UF,Other,11/18/2022 0:56:32.5,11/18/2022 14:15:45.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:35,UF,Other,11/18/2022 0:58:32.5,11/18/2022 2:19:50.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:38,UF,Other,11/19/2022 1:18:18.5,11/19/2022 2:29:41.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:38,UF,Other,11/19/2022 1:18:18.5,11/19/2022 14:27:38.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:38,UF,Other,11/20/2022 1:16:21.5,11/20/2022 2:33:38.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:38,UF,Other,11/20/2022 1:16:21.5,11/20/2022 12:18:46.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:40,UF,Other,11/20/2022 12:20:41.5,11/20/2022 14:43:29.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:40,UF,Other,11/21/2022 1:12:21.5,11/21/2022 2:23:44.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:41,UF,Other,11/21/2022 1:12:21.5,11/21/2022 14:35:34.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:42,UF,Other,11/22/2022 1:14:21.5,11/22/2022 2:19:49.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:42,UF,Other,11/22/2022 1:16:21.5,11/22/2022 12:22:41.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:42,UF,Other,11/22/2022 12:50:26.5,11/22/2022 14:23:38.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:43,UF,Other,11/23/2022 1:08:26.5,11/23/2022 2:11:49.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:43,UF,Other,11/23/2022 1:08:26.5,11/23/2022 14:19:46.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:43,UF,Other,11/24/2022 1:12:19.5,11/24/2022 2:23:43.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:43,UF,Other,11/24/2022 1:12:19.5,11/24/2022 4:26:43.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:44,UF,Other,11/24/2022 10:19:46.5,11/24/2022 14:35:34.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:45,UF,Other,11/25/2022 1:26:17.5,11/25/2022 2:39:41.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:46,UF,Other,11/26/2022 1:18:21.5,11/26/2022 1:18:21.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:50,UF,Other,11/27/2022 1:04:24.5,11/27/2022 2:09:52.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:51,UF,Other,11/27/2022 1:00:24.5,11/27/2022 14:35:34.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:52,UF,Other,11/28/2022 1:16:22.5,11/28/2022 2:23:46.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:52,UF,Other,11/28/2022 3:33:11.5,11/28/2022 13:36:09.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:52,UF,Other,11/29/2022 0:40:34.5,11/29/2022 13:12:16.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:53,UF,Other,11/29/2022 1:32:09.5,11/29/2022 14:21:39.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:55,UF,Other,11/30/2022 2:17:50.5,11/30/2022 2:17:50.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:55,UF,Other,11/30/2022 1:22:17.5,11/30/2022 14:01:52.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:55,UF,Other,12/1/2022 1:26:16.5,12/1/2022 2:37:39.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:55,UF,Other,12/1/2022 2:31:39.5,12/1/2022 12:24:42.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:56,UF,Other,12/2/2022 1:08:23.5,12/2/2022 11:03:19.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:56,UF,Other,12/2/2022 1:55:58.5,12/2/2022 9:04:19.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:56,UF,Other,12/2/2022 11:37:04.5,12/2/2022 19:17:12.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:56,UF,Other,12/3/2022 1:06:25.5,12/3/2022 2:23:42.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:57,UF,Other,12/3/2022 1:10:20.5,12/3/2022 15:01:18.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:57,UF,Other,12/4/2022 1:02:26.5,12/4/2022 14:31:36.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:57,UF,Other,12/4/2022 0:06:56.5,12/4/2022 6:09:54.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:58,UF,Other,12/5/2022 1:12:19.5,12/5/2022 2:01:52.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:58,UF,Other,12/5/2022 1:12:19.5,12/5/2022 14:31:33.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:58,UF,Other,12/6/2022 1:22:16.5,12/6/2022 2:21:44.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 1:58,UF,Other,12/6/2022 1:18:21.5,12/6/2022 14:37:34.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:00,UF,Other,12/7/2022 1:28:17.5,12/7/2022 3:33:10.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:00,UF,Other,12/7/2022 11:31:08.5,12/7/2022 14:39:37.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:01,UF,Other,12/8/2022 10:17:45.5,12/8/2022 14:51:23.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:02,UF,Other,12/8/2022 1:18:20.5,12/8/2022 2:25:42.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:02,UF,Other,12/9/2022 0:40:35.5,12/9/2022 13:24:10.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:02,UF,Other,12/10/2022 1:26:15.5,12/10/2022 3:09:23.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:04,UF,Other,12/11/2022 0:42:36.5,12/11/2022 19:56:54.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:05,UF,Other,12/12/2022 2:11:48.5,12/12/2022 11:58:56.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:06,UF,Other,12/13/2022 1:30:08.5,12/13/2022 10:57:25.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:07,UF,Other,12/14/2022 1:22:17.5,12/14/2022 8:20:43.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:08,UF,Other,12/15/2022 1:38:10.5,12/15/2022 4:18:49.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_03_df24\MB05_03_df24_1s_1Hz_LTSA.ltsa,7/18/2023 2:08,UF,Other,12/16/2022 1:34:12.5,12/16/2022 14:25:40.5,bocaccio,,
